,Vp,alpha,Te,x,ne,nm
0,4.92932,2123.961567801182,2.0005410213346053,0.0,210093577000689.16,4.462306831913421e+17
1,4.71767,409.87593255138984,3.1565394074073,7.0,228150819603465.6,9.351352994733437e+16
2,4.58333,484.76428307571086,6.576394916244496,14.0,226849510022514.72,1.0996854009214064e+17
3,4.59434,362.0870551308627,12.023356083156964,21.0,373862432198528.8,1.3537074709882714e+17
4,3.15413,171.31048207981277,8.967103188640081,28.0,1023519745439296.2,1.753396610094131e+17
5,4.37254,101.18166151989446,12.224311492523364,35.0,2273235905112779.0,2.3000978590599213e+17
6,4.94324,58.91397877270937,11.952470185135617,42.0,4978962232389369.0,2.933304752691089e+17
7,3.57953,33.844892220639395,7.953434287894799,49.0,1.1086942176834164e+16,3.752363630314134e+17
8,3.47015,25.751354806156787,8.67203711360727,56.0,1.934129750151231e+16,4.980646143728773e+17
9,3.41737,25.679919847815054,10.407478822963109,63.0,2.5979888533705092e+16,6.671614552007162e+17
10,4.00837,29.426105734948795,15.182622396101504,70.0,3.1955981575462364e+16,9.403400927036311e+17
11,6.65699,42.2489161977613,31.128282671140486,77.0,3.2389701847284788e+16,1.3684297990164093e+18
